run,profile,tier,seed,motion_scale,phase_scale,method,method_label,pipeline_label,headline_label,upstream_baseline_label,baseline_type,role,run_stap,eval_score,score_label,score_semantics,bundle_dir,score_file,T,H,W,prf_hz,motion_disp_rms_px,phase_rms_rad,n_h1_pf_main,n_h0_bg,n_h0_nuisance_pa,n_h1_alias_qc,auc_main_vs_bg,auc_main_vs_nuisance,fpr_floor_bg,fpr_floor_nuisance,thr@1e-04,tpr_main@1e-04,fpr_bg@1e-04,fpr_nuisance@1e-04,tpr_alias_qc@1e-04,thr@1e-03,tpr_main@1e-03,fpr_bg@1e-03,fpr_nuisance@1e-03,tpr_alias_qc@1e-03,thr_match_tpr@0p25,tpr_main_match@0p25,fpr_bg_match@0p25,fpr_nuisance_match@0p25,tpr_alias_qc_match@0p25,thr_match_tpr@0p5,tpr_main_match@0p5,fpr_bg_match@0p5,fpr_nuisance_match@0p5,tpr_alias_qc_match@0p5,thr_match_tpr@0p75,tpr_main_match@0p75,fpr_bg_match@0p75,fpr_nuisance_match@0p75,tpr_alias_qc_match@0p75
simus_clinmobile_pf_v1_motionx0_phasex0_seed21,ClinMobile-Pf-v1,paper,21,0.0,0.0,baseline_local_svd,Local SVD,Local SVD,Local SVD (Baseline score),Local SVD,local_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21_baseline_local_svd,score_base.npy,64,128,128,1500.0,0.0,0.0,426,12046,348,348,0.9128485562776181,0.19532135340780313,8.301510874979246e-05,0.0028735632183908046,8723474.211500002,0.04225352112676056,0.00016603021749958492,0.02586206896551724,0.02586206896551724,7315552.157499998,0.07511737089201878,0.001079196413747302,0.04597701149425287,0.04597701149425287,3913255.75,0.2511737089201878,0.03536443632741159,0.7586206896551724,0.7586206896551724,2353662.375,0.5,0.06657811721733356,0.9942528735632183,0.9942528735632183,1302031.3125,0.7488262910798122,0.10841773202722896,1.0,1.0
simus_clinmobile_pf_v1_motionx0_phasex0_seed21,ClinMobile-Pf-v1,paper,21,0.0,0.0,baseline_rpca,RPCA,RPCA,RPCA (Baseline score),RPCA,rpca,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21_baseline_rpca,score_base.npy,64,128,128,1500.0,0.0,0.0,426,12046,348,348,0.8997050820056762,0.03323484971129459,8.301510874979246e-05,0.0028735632183908046,14387518.24250019,0.011737089201877934,0.00016603021749958492,0.4166666666666667,0.4166666666666667,9774273.794999983,0.03755868544600939,0.001079196413747302,0.7672413793103449,0.7672413793103449,3173326.375,0.2511737089201878,0.03470031545741325,0.9827586206896551,0.9827586206896551,1166793.5,0.5,0.06309148264984227,1.0,1.0,266758.5546875,0.7488262910798122,0.09496928440976257,1.0,1.0
simus_clinmobile_pf_v1_motionx0_phasex0_seed21,ClinMobile-Pf-v1,paper,21,0.0,0.0,baseline_hosvd,HOSVD,HOSVD,HOSVD (Baseline score),HOSVD,hosvd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21_baseline_hosvd,score_base.npy,64,128,128,1500.0,0.0,0.0,426,12046,348,348,0.9288583902551955,0.0018347633694889645,8.301510874979246e-05,0.0028735632183908046,2352089.1900001136,0.009389671361502348,0.00016603021749958492,0.896551724137931,0.896551724137931,1744364.0,0.023474178403755867,0.0011622115224970944,0.9655172413793104,0.9655172413793104,1062801.5,0.2535211267605634,0.012286236094969285,1.0,1.0,762321.5625,0.5023474178403756,0.03453428523991366,1.0,1.0,521516.6875,0.755868544600939,0.083596214511041,1.0,1.0
simus_clinmobile_pf_v1_motionx0_phasex0_seed21,ClinMobile-Pf-v1,paper,21,0.0,0.0,stap,MC-SVD -> STAP,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),MC-SVD,mc_svd,stap,1,vnext,STAP detector,stap_detector_score_pre_ka,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21_stap,score_stap_preka.npy,64,128,128,1500.0,0.0,0.0,426,12046,348,348,0.9559413874357997,1.0,8.301510874979246e-05,0.0028735632183908046,9.041152853488923,0.25586854460093894,0.00016603021749958492,0.0,0.0,8.8386656999588,0.37089201877934275,0.001079196413747302,0.0,0.0,9.047436237335205,0.2511737089201878,8.301510874979246e-05,0.0,0.0,8.371001720428467,0.5,0.006807238917482982,0.0,0.0,7.041794419288635,0.7488262910798122,0.060933089822347665,0.0,0.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,baseline_mc_svd,MC-SVD,MC-SVD,MC-SVD (Baseline score),MC-SVD,mc_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_baseline_mc_svd,score_base.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.5656879458164672,0.0346379040526685,8.301510874979246e-05,0.0028735632183908046,126173544.59600264,0.0,0.00016603021749958492,0.0,0.0,72416942.27999993,0.0,0.001079196413747302,0.0,0.0,7264503.375,0.2511737089201878,0.2225635065581936,0.9913793103448276,0.9913793103448276,5196213.75,0.5,0.405611821351486,1.0,1.0,3499639.5625,0.7488262910798122,0.6560684044496098,1.0,1.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,baseline_svd_similarity,Adaptive Local SVD,Adaptive Local SVD,Adaptive Local SVD (Baseline score),Adaptive Local SVD,svd_similarity,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_baseline_svd_similarity,score_base.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.6666243796277026,0.02109977874912309,8.301510874979246e-05,0.0028735632183908046,80723841.42800264,0.0,0.00016603021749958492,0.0,0.0,33053517.43999995,0.0,0.001079196413747302,0.0,0.0,3805942.9375,0.2511737089201878,0.15606840444960982,0.9942528735632183,0.9942528735632183,2660197.125,0.5,0.27262161713431843,1.0,1.0,1791051.5,0.7488262910798122,0.4833969782500415,1.0,1.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,baseline_local_svd,Local SVD,Local SVD,Local SVD (Baseline score),Local SVD,local_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_baseline_local_svd,score_base.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.19189721872103727,0.130234471965895,8.301510874979246e-05,0.0028735632183908046,61174364.556000814,0.0,0.00016603021749958492,0.0,0.0,40413114.49999984,0.0,0.001079196413747302,0.0,0.0,3269756.75,0.2511737089201878,0.7715424207205711,0.9224137931034483,0.9224137931034483,2395314.25,0.5,0.8748132160053129,0.9971264367816092,0.9971264367816092,1778222.15625,0.7488262910798122,0.9293541424539267,1.0,1.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,baseline_rpca,RPCA,RPCA,RPCA (Baseline score),RPCA,rpca,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_baseline_rpca,score_base.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.4030327017169707,0.029464141168852192,8.301510874979246e-05,0.0028735632183908046,671022289.3440409,0.0,0.00016603021749958492,0.0,0.0,366110908.4799999,0.0,0.001079196413747302,0.0,0.0,12248863.75,0.2511737089201878,0.41781504233770544,0.9942528735632183,0.9942528735632183,6020591.75,0.5,0.6338203553046654,1.0,1.0,3079058.75,0.7488262910798122,0.7681388012618297,1.0,1.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,baseline_hosvd,HOSVD,HOSVD,HOSVD (Baseline score),HOSVD,hosvd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_baseline_hosvd,score_base.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.7598602851822318,0.011871998273163887,8.301510874979246e-05,0.0028735632183908046,7267976.0,0.0,0.00033206043499916984,0.0,0.0,3317478.5,0.0,0.0013282417399966794,0.10344827586206896,0.10344827586206896,832905.25,0.2535211267605634,0.09961813049975095,1.0,1.0,644159.0,0.5070422535211268,0.19882118545575295,1.0,1.0,484655.9375,0.7511737089201878,0.3339697825004151,1.0,1.0
simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21,ClinMobile-Pf-v1,paper,21,0.25,0.25,stap,MC-SVD -> STAP,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),MC-SVD,mc_svd,stap,1,vnext,STAP detector,stap_detector_score_pre_ka,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21/simus_clinmobile_pf_v1_motionx0p25_phasex0p25_seed21_stap,score_stap_preka.npy,64,128,128,1500.0,1.4703929424285889,0.13218560814857483,426,12046,348,348,0.4957936088499562,0.4506097890022125,8.301510874979246e-05,0.0028735632183908046,1.675101955890656,0.0,0.00016603021749958492,0.0,0.0,1.6159257417917248,0.0,0.001079196413747302,0.0,0.0,1.3742145001888275,0.2511737089201878,0.23152913830317118,0.28735632183908044,0.28735632183908044,1.3219562768936157,0.5,0.4967624107587581,0.5660919540229885,0.5660919540229885,1.2683831453323364,0.7488262910798122,0.7893076539930267,0.8448275862068966,0.8448275862068966
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,baseline_mc_svd,MC-SVD,MC-SVD,MC-SVD (Baseline score),MC-SVD,mc_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_baseline_mc_svd,score_base.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.5034975473517401,0.02892450488370838,8.301510874979246e-05,0.0028735632183908046,127914244.7440002,0.0,0.00016603021749958492,0.0,0.0,85300616.39999981,0.0,0.001079196413747302,0.0,0.0,6257461.25,0.2511737089201878,0.3017599203054956,0.9942528735632183,0.9942528735632183,4580106.25,0.5,0.48082350987879796,1.0,1.0,3241573.4375,0.7488262910798122,0.6909347501245227,1.0,1.0
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,baseline_svd_similarity,Adaptive Local SVD,Adaptive Local SVD,Adaptive Local SVD (Baseline score),Adaptive Local SVD,svd_similarity,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_baseline_svd_similarity,score_base.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.2083476563626599,0.036405212886514486,8.301510874979246e-05,0.0028735632183908046,1097228733.632003,0.0,0.00016603021749958492,0.0,0.0,634006231.6799997,0.0,0.001079196413747302,0.0,0.0,24204391.5,0.2511737089201878,0.7146770712269633,1.0,1.0,14539990.0,0.5,0.8498256682716254,1.0,1.0,8777432.0,0.7488262910798122,0.9213016769051967,1.0,1.0
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,baseline_local_svd,Local SVD,Local SVD,Local SVD (Baseline score),Local SVD,local_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_baseline_local_svd,score_base.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.1794467062488941,0.1328314715881496,8.301510874979246e-05,0.0028735632183908046,61894497.16000091,0.0,0.00016603021749958492,0.0,0.0,38737346.21999999,0.0,0.001079196413747302,0.0,0.0,3198431.0625,0.2511737089201878,0.7902208201892744,0.9310344827586207,0.9310344827586207,2256495.0,0.5,0.8997177486302507,0.9971264367816092,0.9971264367816092,1716345.875,0.7488262910798122,0.9393989706126515,1.0,1.0
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,baseline_rpca,RPCA,RPCA,RPCA (Baseline score),RPCA,rpca,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_baseline_rpca,score_base.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.31137447297098214,0.03730910366413038,8.301510874979246e-05,0.0028735632183908046,1025380272.1920063,0.0,0.00016603021749958492,0.0,0.0,506402284.6399997,0.0,0.001079196413747302,0.0,0.0,14653629.0,0.2511737089201878,0.5502241407936245,0.9885057471264368,0.9885057471264368,7327999.5,0.5,0.7469699485306326,1.0,1.0,3952267.375,0.7488262910798122,0.8450938070728873,1.0,1.0
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,baseline_hosvd,HOSVD,HOSVD,HOSVD (Baseline score),HOSVD,hosvd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_baseline_hosvd,score_base.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.7256565014081389,0.09225082294533485,8.301510874979246e-05,0.0028735632183908046,3235508.9722500984,0.0,0.00016603021749958492,0.022988505747126436,0.022988505747126436,2184019.0,0.046948356807511735,0.0011622115224970944,0.35344827586206895,0.35344827586206895,973431.9375,0.2535211267605634,0.07355138635231612,0.9051724137931034,0.9051724137931034,590690.6875,0.5023474178403756,0.25269799103436824,0.9885057471264368,0.9885057471264368,397173.40625,0.755868544600939,0.42719574962643203,1.0,1.0
simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21,ClinMobile-Pf-v1,paper,21,0.5,0.5,stap,MC-SVD -> STAP,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),MC-SVD,mc_svd,stap,1,vnext,STAP detector,stap_detector_score_pre_ka,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21/simus_clinmobile_pf_v1_motionx0p5_phasex0p5_seed21_stap,score_stap_preka.npy,64,128,128,1500.0,1.6960432529449463,0.26437121629714966,426,12046,348,348,0.4872900165952269,0.42556391991797526,8.301510874979246e-05,0.0028735632183908046,1.7202250733971665,0.0,0.00016603021749958492,0.0,0.0,1.593108478784561,0.0,0.001079196413747302,0.005747126436781609,0.005747126436781609,1.3772139847278595,0.2511737089201878,0.2841607172505396,0.3390804597701149,0.3390804597701149,1.334746778011322,0.5,0.5078864353312302,0.5747126436781609,0.5747126436781609,1.2949896156787872,0.7488262910798122,0.7217333554706956,0.8045977011494253,0.8045977011494253
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,baseline_mc_svd,MC-SVD,MC-SVD,MC-SVD (Baseline score),MC-SVD,mc_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_baseline_mc_svd,score_base.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.42019305494820713,0.023851923803356538,8.301510874979246e-05,0.0028735632183908046,124726702.32800056,0.0,0.00016603021749958492,0.0,0.0,65269923.89999985,0.0,0.001079196413747302,0.0,0.0,5467437.875,0.2511737089201878,0.4096795616802258,0.9971264367816092,0.9971264367816092,4033290.625,0.5,0.5957994354972606,1.0,1.0,2743555.375,0.7488262910798122,0.7845757927942886,1.0,1.0
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,baseline_svd_similarity,Adaptive Local SVD,Adaptive Local SVD,Adaptive Local SVD (Baseline score),Adaptive Local SVD,svd_similarity,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_baseline_svd_similarity,score_base.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.17852116573479285,0.037828503588581294,8.301510874979246e-05,0.0028735632183908046,1293822901.6320057,0.0,0.00016603021749958492,0.0,0.0,756222579.1999996,0.0,0.001079196413747302,0.0,0.0,24730844.0,0.2511737089201878,0.7686368919143284,1.0,1.0,16531948.5,0.5,0.8670097957828324,1.0,1.0,10677540.0,0.7488262910798122,0.9331728374564171,1.0,1.0
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,baseline_local_svd,Local SVD,Local SVD,Local SVD (Baseline score),Local SVD,local_svd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_baseline_local_svd,score_base.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.21351349560643512,0.20777346068749664,8.301510874979246e-05,0.0028735632183908046,58434204.01400071,0.0,0.00016603021749958492,0.0,0.0,32596763.47999995,0.0,0.001079196413747302,0.0,0.0,3750057.0,0.2511737089201878,0.7145940561182135,0.7270114942528736,0.7270114942528736,2576428.25,0.5,0.8907521168852731,0.9913793103448276,0.9913793103448276,1837810.03125,0.7488262910798122,0.947202390835132,1.0,1.0
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,baseline_rpca,RPCA,RPCA,RPCA (Baseline score),RPCA,rpca,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_baseline_rpca,score_base.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.23410319128785664,0.03267497706545788,8.301510874979246e-05,0.0028735632183908046,966295165.4080032,0.0,0.00016603021749958492,0.0,0.0,608928147.1999987,0.0,0.001079196413747302,0.0,0.0,16277593.0,0.2511737089201878,0.7017267142619957,0.9971264367816092,0.9971264367816092,10856761.5,0.5,0.8029221318279927,1.0,1.0,6102821.5,0.7488262910798122,0.8831147268802922,1.0,1.0
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,baseline_hosvd,HOSVD,HOSVD,HOSVD (Baseline score),HOSVD,hosvd,baseline,0,vnext,Baseline score,baseline_score,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_baseline_hosvd,score_base.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.636717309780427,0.06981544439048082,8.301510874979246e-05,0.0028735632183908046,4587770.6467500795,0.0,0.00016603021749958492,0.0,0.0,3662502.75,0.0,0.0011622115224970944,0.0,0.0,533158.4375,0.2535211267605634,0.2290386850406774,0.9224137931034483,0.9224137931034483,397781.5,0.5023474178403756,0.3609496928440976,0.9540229885057471,0.9540229885057471,294338.15625,0.755868544600939,0.49983396978250044,0.9827586206896551,0.9827586206896551
simus_clinmobile_pf_v1_motionx1_phasex1_seed21,ClinMobile-Pf-v1,paper,21,1.0,1.0,stap,MC-SVD -> STAP,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),MC-SVD,mc_svd,stap,1,vnext,STAP detector,stap_detector_score_pre_ka,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/eval/simus_clinmobile_pf_v1_motionx1_phasex1_seed21/simus_clinmobile_pf_v1_motionx1_phasex1_seed21_stap,score_stap_preka.npy,64,128,128,1500.0,2.441910982131958,0.5287424325942993,426,12046,348,348,0.4647310505347654,0.4039447412444013,8.301510874979246e-05,0.0028735632183908046,1.7586482428908365,0.0,0.00016603021749958492,0.0,0.0,1.6081516772508622,0.0,0.001079196413747302,0.0,0.0,1.3756340444087982,0.2511737089201878,0.2828324755105429,0.34770114942528735,0.34770114942528735,1.3278411626815796,0.5,0.5390171011124024,0.6264367816091954,0.6264367816091954,1.2806183993816376,0.7488262910798122,0.7849078532292877,0.8448275862068966,0.8448275862068966
